Item	Page_Lines	Para	Text	Keywords
1	1.3 - 1.3	SEC. 1.	SHORT TITLE; TABLE OF CONTENTS.	title, table, contents
2	1.4 - 1.5	SEC. 1.(a)	SHORT TITLE.—This Act may be cited as the ‘‘Save Our Future Act’’.	title, act, may, cited, future
3	2.1 - 2.2	SEC. 1.(b)	TABLE OF CONTENTS.—The table of contents of this Act is as follows:	table, contents, act, follows
4	2.3 - 2.4	TITLE I	—FEES ON AIR POLLUTION	fees, air, pollution
5	2.5 - 2.6	TITLE I SEC. 101.	CARBON DIOXIDE AND OTHER GREENHOUSE GAS EMISSION FEES.	carbon, dioxide, greenhouse, gas, emission, fees
6	2.7 - 3.2	TITLE I SEC. 101.(a)	IN GENERAL.—Chapter 38 of the Internal Revenue Code of 1986 is amended by adding at the end thereof the following new subchapter: ‘‘Subchapter E—Carbon Dioxide and Other Greenhouse Gas Emission Fees	general, chapter, internal, revenue, code, amended, adding, thereof, new, subchapter, carbon, dioxide, greenhouse, gas, emission, fees
7	3.3 - 3.3	[TITLE I SEC. 101.(a)] SEC. 4691.	FEE FOR CARBON DIOXIDE EMISSIONS.	fee, carbon, dioxide, emissions
8	3.4 - 3.4	[TITLE I SEC. 101.(a)] SEC. 4691.(a)	IN GENERAL.—	general
9	3.5 - 3.8	[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)	FOSSIL FUEL PRODUCTS PRODUCING CARBON EMISSIONS.—There is hereby imposed a fee in an amount equal to the applicable amount at the rate specified in paragraph (2) on—	fossil, fuel, products, producing, carbon, emissions, hereby, imposed, fee, amount, equal, applicable, rate, specified, paragraph
10	3.9 - 3.9	[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)(A)	coal—	coal
11	3.10 - 3.11	[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)(A)(i)	removed from any mine in the United States, or	removed, mine, united, states
12	3.12 - 3.13	[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)(A)(ii)	entered into the United States for consumption, use, or warehousing,	entered, united, states, consumption, warehousing
13	3.14 - 3.14	[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)(B)	petroleum products—	petroleum, products
